y	T	T(actual)
0.000000	0.000000	0.000000
0.019802	0.005388	0.005387
0.039604	0.010781	0.010779
0.059406	0.016184	0.016182
0.079208	0.021604	0.021600
0.099010	0.027044	0.027039
0.118812	0.032510	0.032504
0.138614	0.038008	0.038001
0.158416	0.043542	0.043535
0.178218	0.049119	0.049110
0.198020	0.054743	0.054733
0.217822	0.060420	0.060409
0.237624	0.066155	0.066144
0.257426	0.071955	0.071943
0.277228	0.077824	0.077811
0.297030	0.083768	0.083754
0.316832	0.089794	0.089779
0.336634	0.095906	0.095890
0.356436	0.102111	0.102094
0.376238	0.108415	0.108397
0.396040	0.114824	0.114805
0.415842	0.121344	0.121324
0.435644	0.127981	0.127960
0.455446	0.134742	0.134720
0.475248	0.141633	0.141611
0.495050	0.148662	0.148638
0.514851	0.155834	0.155810
0.534653	0.163157	0.163132
0.554455	0.170638	0.170612
0.574257	0.178284	0.178257
0.594059	0.186102	0.186074
0.613861	0.194101	0.194072
0.633663	0.202287	0.202257
0.653465	0.210669	0.210638
0.673267	0.219255	0.219223
0.693069	0.228053	0.228020
0.712871	0.237071	0.237037
0.732673	0.246319	0.246284
0.752475	0.255805	0.255769
0.772277	0.265539	0.265502
0.792079	0.275529	0.275492
0.811881	0.285786	0.285748
0.831683	0.296320	0.296281
0.851485	0.307140	0.307100
0.871287	0.318257	0.318216
0.891089	0.329683	0.329641
0.910891	0.341427	0.341384
0.930693	0.353501	0.353458
0.950495	0.365918	0.365874
0.970297	0.378688	0.378643
0.990099	0.391825	0.391779
1.009901	0.405341	0.405294
1.029703	0.419249	0.419202
1.049505	0.433563	0.433515
1.069307	0.448296	0.448247
1.089109	0.463463	0.463413
1.108911	0.479078	0.479028
1.128713	0.495156	0.495106
1.148515	0.511714	0.511663
1.168317	0.528767	0.528715
1.188119	0.546331	0.546278
1.207921	0.564424	0.564371
1.227723	0.583063	0.583009
1.247525	0.602266	0.602212
1.267327	0.622051	0.621997
1.287129	0.642439	0.642384
1.306931	0.663448	0.663392
1.326733	0.685098	0.685043
1.346535	0.707412	0.707356
1.366337	0.730410	0.730354
1.386139	0.754114	0.754058
1.405941	0.778548	0.778492
1.425743	0.803736	0.803680
1.445545	0.829700	0.829645
1.465347	0.856468	0.856412
1.485149	0.884064	0.884009
1.504950	0.912515	0.912460
1.524752	0.941850	0.941795
1.544554	0.972095	0.972041
1.564356	1.003281	1.003227
1.584158	1.035437	1.035385
1.603960	1.068595	1.068543
1.623762	1.102787	1.102736
1.643564	1.138046	1.137996
1.663366	1.174406	1.174357
1.683168	1.211902	1.211855
1.702970	1.250570	1.250524
1.722772	1.290448	1.290404
1.742574	1.331575	1.331533
1.762376	1.373990	1.373950
1.782178	1.417734	1.417696
1.801980	1.462850	1.462814
1.821782	1.509380	1.509347
1.841584	1.557372	1.557341
1.861386	1.606869	1.606842
1.881188	1.657922	1.657897
1.900990	1.710578	1.710557
1.920792	1.764889	1.764872
1.940594	1.820908	1.820894
1.960396	1.878688	1.878678
1.980198	1.938285	1.938281
2.000000	1.999758	1.999758
