x	T	T(actual)
0.000000	0.000000	0.000000
0.019802	0.012608	0.012606
0.039604	0.025203	0.025200
0.059406	0.037774	0.037770
0.079208	0.050308	0.050303
0.099010	0.062794	0.062787
0.118812	0.075219	0.075211
0.138614	0.087571	0.087561
0.158416	0.099839	0.099828
0.178218	0.112010	0.111997
0.198020	0.124073	0.124058
0.217822	0.136015	0.135999
0.237624	0.147826	0.147809
0.257426	0.159494	0.159476
0.277228	0.171008	0.170988
0.297030	0.182356	0.182335
0.316832	0.193528	0.193505
0.336634	0.204512	0.204489
0.356436	0.215299	0.215274
0.376238	0.225878	0.225852
0.396040	0.236237	0.236210
0.415842	0.246369	0.246340
0.435644	0.256262	0.256232
0.455446	0.265907	0.265876
0.475248	0.275295	0.275263
0.495050	0.284416	0.284384
0.514851	0.293263	0.293229
0.534653	0.301825	0.301791
0.554455	0.310096	0.310060
0.574257	0.318067	0.318030
0.594059	0.325730	0.325692
0.613861	0.333078	0.333039
0.633663	0.340103	0.340064
0.653465	0.346800	0.346760
0.673267	0.353161	0.353120
0.693069	0.359180	0.359139
0.712871	0.364852	0.364810
0.732673	0.370171	0.370128
0.752475	0.375132	0.375089
0.772277	0.379730	0.379686
0.792079	0.383960	0.383916
0.811881	0.387820	0.387775
0.831683	0.391303	0.391258
0.851485	0.394409	0.394363
0.871287	0.397133	0.397087
0.891089	0.399472	0.399426
0.910891	0.401425	0.401379
0.930693	0.402990	0.402944
0.950495	0.404165	0.404118
0.970297	0.404949	0.404902
0.990099	0.405341	0.405294
1.009901	0.405341	0.405294
1.029703	0.404949	0.404902
1.049505	0.404165	0.404118
1.069307	0.402990	0.402944
1.089109	0.401425	0.401379
1.108911	0.399472	0.399426
1.128713	0.397133	0.397087
1.148515	0.394409	0.394363
1.168317	0.391303	0.391258
1.188119	0.387820	0.387775
1.207921	0.383960	0.383916
1.227723	0.379730	0.379686
1.247525	0.375132	0.375089
1.267327	0.370171	0.370128
1.287129	0.364852	0.364810
1.306931	0.359180	0.359139
1.326733	0.353161	0.353120
1.346535	0.346800	0.346760
1.366337	0.340103	0.340064
1.386139	0.333078	0.333039
1.405941	0.325730	0.325692
1.425743	0.318067	0.318030
1.445545	0.310096	0.310060
1.465347	0.301825	0.301791
1.485149	0.293263	0.293229
1.504950	0.284416	0.284384
1.524752	0.275295	0.275263
1.544554	0.265907	0.265876
1.564356	0.256262	0.256232
1.584158	0.246369	0.246340
1.603960	0.236237	0.236210
1.623762	0.225878	0.225852
1.643564	0.215299	0.215274
1.663366	0.204512	0.204489
1.683168	0.193528	0.193505
1.702970	0.182356	0.182335
1.722772	0.171008	0.170988
1.742574	0.159494	0.159476
1.762376	0.147826	0.147809
1.782178	0.136015	0.135999
1.801980	0.124073	0.124058
1.821782	0.112010	0.111997
1.841584	0.099839	0.099828
1.861386	0.087571	0.087561
1.881188	0.075219	0.075211
1.900990	0.062794	0.062787
1.920792	0.050308	0.050303
1.940594	0.037774	0.037770
1.960396	0.025203	0.025200
1.980198	0.012608	0.012606
2.000000	0.000000	0.000000
