y	T	T(actual)
0.000000	0.000000	0.000000
0.009804	0.000000	0.000000
0.019608	0.000000	0.000000
0.029412	0.000000	0.000000
0.039216	0.000000	0.000000
0.049020	0.000000	0.000000
0.058824	0.000000	0.000000
0.068627	0.000000	0.000000
0.078431	0.000000	0.000000
0.088235	0.000000	0.000000
0.098039	0.000000	0.000000
0.107843	0.000000	0.000000
0.117647	0.000000	0.000000
0.127451	0.000000	0.000000
0.137255	0.000000	0.000000
0.147059	0.000000	0.000000
0.156863	0.000000	0.000000
0.166667	0.000000	0.000000
0.176471	0.000000	0.000000
0.186275	0.000000	0.000000
0.196078	0.000000	0.000000
0.205882	0.000000	0.000000
0.215686	0.000000	0.000000
0.225490	0.000000	0.000000
0.235294	0.000000	0.000000
0.245098	0.000000	0.000000
0.254902	0.000000	0.000000
0.264706	0.000000	0.000000
0.274510	0.000000	0.000000
0.284314	0.000000	0.000000
0.294118	0.000000	0.000000
0.303922	0.000000	0.000000
0.313725	0.000000	0.000000
0.323529	0.000000	0.000000
0.333333	0.000000	0.000000
0.343137	0.000000	0.000000
0.352941	0.000000	0.000000
0.362745	0.000000	0.000000
0.372549	0.000000	0.000000
0.382353	0.000000	0.000000
0.392157	0.000000	0.000000
0.401961	0.000000	0.000000
0.411765	0.000000	0.000000
0.421569	0.000000	0.000000
0.431373	0.000000	0.000000
0.441176	0.000000	0.000000
0.450980	0.000000	0.000000
0.460784	0.000000	0.000000
0.470588	0.000000	0.000000
0.480392	0.000000	0.000000
0.490196	0.000000	0.000000
0.500000	0.000000	0.000000
0.509804	-0.000000	-0.000000
0.519608	-0.000000	-0.000000
0.529412	-0.000000	-0.000000
0.539216	-0.000000	-0.000000
0.549020	-0.000000	-0.000000
0.558824	-0.000000	-0.000000
0.568627	-0.000000	-0.000000
0.578431	-0.000000	-0.000000
0.588235	-0.000000	-0.000000
0.598039	-0.000000	-0.000000
0.607843	-0.000000	-0.000000
0.617647	-0.000000	-0.000000
0.627451	-0.000000	-0.000000
0.637255	-0.000000	-0.000000
0.647059	-0.000000	-0.000000
0.656863	-0.000000	-0.000000
0.666667	-0.000000	-0.000000
0.676471	-0.000000	-0.000000
0.686275	-0.000000	-0.000000
0.696078	-0.000000	-0.000000
0.705882	-0.000000	-0.000000
0.715686	-0.000000	-0.000000
0.725490	-0.000000	-0.000000
0.735294	-0.000000	-0.000000
0.745098	-0.000000	-0.000000
0.754902	-0.000000	-0.000000
0.764706	-0.000000	-0.000000
0.774510	-0.000000	-0.000000
0.784314	-0.000000	-0.000000
0.794118	-0.000000	-0.000000
0.803922	-0.000000	-0.000000
0.813725	-0.000000	-0.000000
0.823529	-0.000000	-0.000000
0.833333	-0.000000	-0.000000
0.843137	-0.000000	-0.000000
0.852941	-0.000000	-0.000000
0.862745	-0.000000	-0.000000
0.872549	-0.000000	-0.000000
0.882353	-0.000000	-0.000000
0.892157	-0.000000	-0.000000
0.901961	-0.000000	-0.000000
0.911765	-0.000000	-0.000000
0.921569	-0.000000	-0.000000
0.931373	-0.000000	-0.000000
0.941176	-0.000000	-0.000000
0.950980	-0.000000	-0.000000
0.960784	-0.000000	-0.000000
0.970588	-0.000000	-0.000000
0.980392	-0.000000	-0.000000
0.990196	-0.000000	-0.000000
1.000000	0.000000	-0.000000
