x	T	T(actual)
0.000000	0.000000	0.000000
0.009804	0.008182	0.008181
0.019608	0.016354	0.016351
0.029412	0.024504	0.024499
0.039216	0.032621	0.032615
0.049020	0.040696	0.040689
0.058824	0.048717	0.048709
0.068627	0.056675	0.056666
0.078431	0.064560	0.064550
0.088235	0.072362	0.072350
0.098039	0.080071	0.080058
0.107843	0.087678	0.087665
0.117647	0.095176	0.095162
0.127451	0.102555	0.102541
0.137255	0.109807	0.109793
0.147059	0.116926	0.116911
0.156863	0.123904	0.123889
0.166667	0.130733	0.130718
0.176471	0.137409	0.137394
0.186275	0.143925	0.143910
0.196078	0.150275	0.150261
0.205882	0.156455	0.156441
0.215686	0.162460	0.162446
0.225490	0.168286	0.168272
0.235294	0.173928	0.173915
0.245098	0.179384	0.179371
0.254902	0.184650	0.184637
0.264706	0.189722	0.189711
0.274510	0.194599	0.194589
0.284314	0.199279	0.199269
0.294118	0.203759	0.203749
0.303922	0.208037	0.208028
0.313725	0.212112	0.212104
0.323529	0.215983	0.215976
0.333333	0.219648	0.219642
0.343137	0.223107	0.223101
0.352941	0.226359	0.226353
0.362745	0.229402	0.229398
0.372549	0.232237	0.232233
0.382353	0.234863	0.234860
0.392157	0.237280	0.237277
0.401961	0.239487	0.239484
0.411765	0.241484	0.241482
0.421569	0.243271	0.243269
0.431373	0.244848	0.244847
0.441176	0.246215	0.246214
0.450980	0.247371	0.247371
0.460784	0.248318	0.248317
0.470588	0.249054	0.249053
0.480392	0.249579	0.249579
0.490196	0.249895	0.249895
0.500000	0.250000	0.250000
0.509804	0.249895	0.249895
0.519608	0.249579	0.249579
0.529412	0.249054	0.249053
0.539216	0.248318	0.248317
0.549020	0.247371	0.247371
0.558824	0.246215	0.246214
0.568627	0.244848	0.244847
0.578431	0.243271	0.243269
0.588235	0.241484	0.241482
0.598039	0.239487	0.239484
0.607843	0.237280	0.237277
0.617647	0.234863	0.234860
0.627451	0.232237	0.232233
0.637255	0.229402	0.229398
0.647059	0.226359	0.226353
0.656863	0.223107	0.223101
0.666667	0.219648	0.219642
0.676471	0.215983	0.215976
0.686275	0.212112	0.212104
0.696078	0.208037	0.208028
0.705882	0.203759	0.203749
0.715686	0.199279	0.199269
0.725490	0.194599	0.194589
0.735294	0.189722	0.189711
0.745098	0.184650	0.184637
0.754902	0.179384	0.179371
0.764706	0.173928	0.173915
0.774510	0.168286	0.168272
0.784314	0.162460	0.162446
0.794118	0.156455	0.156441
0.803922	0.150275	0.150261
0.813725	0.143925	0.143910
0.823529	0.137409	0.137394
0.833333	0.130733	0.130718
0.843137	0.123904	0.123889
0.852941	0.116926	0.116911
0.862745	0.109807	0.109793
0.872549	0.102555	0.102541
0.882353	0.095176	0.095162
0.892157	0.087678	0.087665
0.901961	0.080071	0.080058
0.911765	0.072362	0.072350
0.921569	0.064560	0.064550
0.931373	0.056675	0.056666
0.941176	0.048717	0.048709
0.950980	0.040696	0.040689
0.960784	0.032621	0.032615
0.970588	0.024504	0.024499
0.980392	0.016354	0.016351
0.990196	0.008182	0.008181
1.000000	0.000000	0.000000
