y	T	T(actual)
0.000000	0.000000	0.000000
0.009804	0.003390	0.003390
0.019608	0.006783	0.006783
0.029412	0.010183	0.010182
0.039216	0.013592	0.013591
0.049020	0.017014	0.017013
0.058824	0.020452	0.020450
0.068627	0.023909	0.023907
0.078431	0.027388	0.027386
0.088235	0.030893	0.030890
0.098039	0.034426	0.034424
0.107843	0.037992	0.037989
0.117647	0.041593	0.041590
0.127451	0.045233	0.045229
0.137255	0.048915	0.048911
0.147059	0.052642	0.052638
0.156863	0.056419	0.056415
0.166667	0.060248	0.060243
0.176471	0.064132	0.064128
0.186275	0.068077	0.068072
0.196078	0.072084	0.072079
0.205882	0.076159	0.076154
0.215686	0.080303	0.080298
0.225490	0.084522	0.084517
0.235294	0.088819	0.088814
0.245098	0.093198	0.093193
0.254902	0.097663	0.097657
0.264706	0.102218	0.102212
0.274510	0.106866	0.106860
0.284314	0.111613	0.111607
0.294118	0.116462	0.116456
0.303922	0.121417	0.121411
0.313725	0.126482	0.126476
0.323529	0.131663	0.131657
0.333333	0.136964	0.136958
0.343137	0.142388	0.142382
0.352941	0.147941	0.147936
0.362745	0.153628	0.153622
0.372549	0.159452	0.159447
0.382353	0.165420	0.165414
0.392157	0.171535	0.171530
0.401961	0.177802	0.177797
0.411765	0.184228	0.184223
0.421569	0.190815	0.190811
0.431373	0.197571	0.197567
0.441176	0.204500	0.204496
0.450980	0.211607	0.211604
0.460784	0.218897	0.218895
0.470588	0.226376	0.226374
0.480392	0.234050	0.234048
0.490196	0.241922	0.241922
0.500000	0.250000	0.250000
0.509804	0.258288	0.258289
0.519608	0.266792	0.266793
0.529412	0.275516	0.275519
0.539216	0.284468	0.284471
0.549020	0.293651	0.293655
0.558824	0.303071	0.303076
0.568627	0.312733	0.312739
0.578431	0.322643	0.322650
0.588235	0.332805	0.332813
0.598039	0.343224	0.343234
0.607843	0.353906	0.353917
0.617647	0.364854	0.364866
0.627451	0.376073	0.376087
0.637255	0.387568	0.387583
0.647059	0.399341	0.399357
0.656863	0.411397	0.411415
0.666667	0.423739	0.423758
0.676471	0.436370	0.436391
0.686275	0.449293	0.449315
0.696078	0.462509	0.462533
0.705882	0.476021	0.476046
0.715686	0.489829	0.489855
0.725490	0.503935	0.503962
0.735294	0.518338	0.518366
0.745098	0.533038	0.533068
0.754902	0.548034	0.548065
0.764706	0.563324	0.563356
0.774510	0.578906	0.578938
0.784314	0.594776	0.594809
0.794118	0.610930	0.610964
0.803922	0.627365	0.627399
0.813725	0.644073	0.644108
0.823529	0.661049	0.661084
0.833333	0.678286	0.678320
0.843137	0.695774	0.695808
0.852941	0.713506	0.713539
0.862745	0.731470	0.731503
0.872549	0.749658	0.749689
0.882353	0.768055	0.768086
0.892157	0.786651	0.786680
0.901961	0.805432	0.805459
0.911765	0.824384	0.824409
0.921569	0.843492	0.843515
0.931373	0.862741	0.862761
0.941176	0.882114	0.882131
0.950980	0.901594	0.901609
0.960784	0.921166	0.921178
0.970588	0.940810	0.940819
0.980392	0.960509	0.960502
0.990196	0.980245	0.979956
1.000000	1.000000	0.993634
