x	y	psi	u	v	p
0.000000	0.000000	0.000000	0.000000	0.000000	0.035404
0.000000	0.007813	0.000000	0.000000	0.000000	0.035400
0.000000	0.015625	0.000000	0.000000	0.000000	0.035395
0.000000	0.023438	0.000000	0.000000	0.000000	0.035398
0.000000	0.031250	0.000000	0.000000	0.000000	0.035412
0.000000	0.039063	0.000000	0.000000	0.000000	0.035439
0.000000	0.046875	0.000000	0.000000	0.000000	0.035479
0.000000	0.054688	0.000000	0.000000	0.000000	0.035530
0.000000	0.062500	0.000000	0.000000	0.000000	0.035591
0.000000	0.070313	0.000000	0.000000	0.000000	0.035662
0.000000	0.078125	0.000000	0.000000	0.000000	0.035741
0.000000	0.085938	0.000000	0.000000	0.000000	0.035827
0.000000	0.093750	0.000000	0.000000	0.000000	0.035918
0.000000	0.101563	0.000000	0.000000	0.000000	0.036013
0.000000	0.109375	0.000000	0.000000	0.000000	0.036111
0.000000	0.117188	0.000000	0.000000	0.000000	0.036210
0.000000	0.125000	0.000000	0.000000	0.000000	0.036309
0.000000	0.132813	0.000000	0.000000	0.000000	0.036406
0.000000	0.140625	0.000000	0.000000	0.000000	0.036500
0.000000	0.148438	0.000000	0.000000	0.000000	0.036588
0.000000	0.156250	0.000000	0.000000	0.000000	0.036670
0.000000	0.164063	0.000000	0.000000	0.000000	0.036742
0.000000	0.171875	0.000000	0.000000	0.000000	0.036804
0.000000	0.179688	0.000000	0.000000	0.000000	0.036854
0.000000	0.187500	0.000000	0.000000	0.000000	0.036889
0.000000	0.195313	0.000000	0.000000	0.000000	0.036907
0.000000	0.203125	0.000000	0.000000	0.000000	0.036907
0.000000	0.210938	0.000000	0.000000	0.000000	0.036887
0.000000	0.218750	0.000000	0.000000	0.000000	0.036845
0.000000	0.226563	0.000000	0.000000	0.000000	0.036778
0.000000	0.234375	0.000000	0.000000	0.000000	0.036685
0.000000	0.242188	0.000000	0.000000	0.000000	0.036565
0.000000	0.250000	0.000000	0.000000	0.000000	0.036415
0.000000	0.257813	0.000000	0.000000	0.000000	0.036234
0.000000	0.265625	0.000000	0.000000	0.000000	0.036021
0.000000	0.273438	0.000000	0.000000	0.000000	0.035774
0.000000	0.281250	0.000000	0.000000	0.000000	0.035492
0.000000	0.289063	0.000000	0.000000	0.000000	0.035175
0.000000	0.296875	0.000000	0.000000	0.000000	0.034820
0.000000	0.304688	0.000000	0.000000	0.000000	0.034428
0.000000	0.312500	0.000000	0.000000	0.000000	0.033999
0.000000	0.320313	0.000000	0.000000	0.000000	0.033532
0.000000	0.328125	0.000000	0.000000	0.000000	0.033027
0.000000	0.335938	0.000000	0.000000	0.000000	0.032485
0.000000	0.343750	0.000000	0.000000	0.000000	0.031905
0.000000	0.351563	0.000000	0.000000	0.000000	0.031290
0.000000	0.359375	0.000000	0.000000	0.000000	0.030639
0.000000	0.367188	0.000000	0.000000	0.000000	0.029954
0.000000	0.375000	0.000000	0.000000	0.000000	0.029236
0.000000	0.382813	0.000000	0.000000	0.000000	0.028487
0.000000	0.390625	0.000000	0.000000	0.000000	0.027709
0.000000	0.398438	0.000000	0.000000	0.000000	0.026904
0.000000	0.406250	0.000000	0.000000	0.000000	0.026074
0.000000	0.414063	0.000000	0.000000	0.000000	0.025220
0.000000	0.421875	0.000000	0.000000	0.000000	0.024346
0.000000	0.429688	0.000000	0.000000	0.000000	0.023455
0.000000	0.437500	0.000000	0.000000	0.000000	0.022548
0.000000	0.445313	0.000000	0.000000	0.000000	0.021629
0.000000	0.453125	0.000000	0.000000	0.000000	0.020700
0.000000	0.460938	0.000000	0.000000	0.000000	0.019765
0.000000	0.468750	0.000000	0.000000	0.000000	0.018826
0.000000	0.476563	0.000000	0.000000	0.000000	0.017885
0.000000	0.484375	0.000000	0.000000	0.000000	0.016947
0.000000	0.492188	0.000000	0.000000	0.000000	0.016013
0.000000	0.500000	0.000000	0.000000	0.000000	0.015086
0.000000	0.507813	0.000000	0.000000	0.000000	0.014170
0.000000	0.515625	0.000000	0.000000	0.000000	0.013265
0.000000	0.523438	0.000000	0.000000	0.000000	0.012376
0.000000	0.531250	0.000000	0.000000	0.000000	0.011504
0.000000	0.539063	0.000000	0.000000	0.000000	0.010651
0.000000	0.546875	0.000000	0.000000	0.000000	0.009820
0.000000	0.554688	0.000000	0.000000	0.000000	0.009012
0.000000	0.562500	0.000000	0.000000	0.000000	0.008229
0.000000	0.570313	0.000000	0.000000	0.000000	0.007472
0.000000	0.578125	0.000000	0.000000	0.000000	0.006743
0.000000	0.585938	0.000000	0.000000	0.000000	0.006043
0.000000	0.593750	0.000000	0.000000	0.000000	0.005373
