u	y
0.000000	0.000000
-0.012715	0.007813
-0.024973	0.015625
-0.036839	0.023438
-0.048373	0.031250
-0.059631	0.039063
-0.070668	0.046875
-0.081532	0.054688
-0.092272	0.062500
-0.102931	0.070313
-0.113548	0.078125
-0.124157	0.085938
-0.134785	0.093750
-0.145454	0.101563
-0.156174	0.109375
-0.166950	0.117188
-0.177774	0.125000
-0.188629	0.132813
-0.199489	0.140625
-0.210317	0.148438
-0.221066	0.156250
-0.231681	0.164063
-0.242099	0.171875
-0.252249	0.179688
-0.262058	0.187500
-0.271447	0.195313
-0.280336	0.203125
-0.288647	0.210938
-0.296300	0.218750
-0.303223	0.226563
-0.309348	0.234375
-0.314614	0.242188
-0.318970	0.250000
-0.322374	0.257813
-0.324796	0.265625
-0.326218	0.273438
-0.326635	0.281250
-0.326052	0.289063
-0.324489	0.296875
-0.321975	0.304688
-0.318550	0.312500
-0.314265	0.320313
-0.309176	0.328125
-0.303346	0.335938
-0.296843	0.343750
-0.289737	0.351563
-0.282101	0.359375
-0.274004	0.367188
-0.265517	0.375000
-0.256705	0.382813
-0.247631	0.390625
-0.238352	0.398438
-0.228920	0.406250
-0.219382	0.414063
-0.209777	0.421875
-0.200141	0.429688
-0.190501	0.437500
-0.180880	0.445313
-0.171297	0.453125
-0.161764	0.460938
-0.152291	0.468750
-0.142881	0.476563
-0.133537	0.484375
-0.124258	0.492188
-0.115041	0.500000
-0.105880	0.507813
-0.096768	0.515625
-0.087700	0.523438
-0.078666	0.531250
-0.069657	0.539063
-0.060667	0.546875
-0.051685	0.554688
-0.042703	0.562500
-0.033715	0.570313
-0.024713	0.578125
-0.015691	0.585938
-0.006642	0.593750
0.002437	0.601563
0.011552	0.609375
0.020705	0.617188
0.029897	0.625000
0.039131	0.632813
0.048407	0.640625
0.057723	0.648438
0.067078	0.656250
0.076469	0.664063
0.085892	0.671875
0.095342	0.679688
0.104813	0.687500
0.114298	0.695313
0.123790	0.703125
0.133278	0.710938
0.142753	0.718750
0.152204	0.726563
0.161619	0.734375
0.170985	0.742188
0.180288	0.750000
0.189516	0.757813
0.198652	0.765625
0.207683	0.773438
0.216593	0.781250
0.225369	0.789063
0.233998	0.796875
0.242470	0.804688
0.250779	0.812500
0.258927	0.820313
0.266924	0.828125
0.274796	0.835938
0.282589	0.843750
0.290379	0.851563
0.298284	0.859375
0.306476	0.867188
0.315198	0.875000
0.324782	0.882813
0.335666	0.890625
0.348415	0.898438
0.363725	0.906250
0.382428	0.914063
0.405475	0.921875
0.433889	0.929688
0.468706	0.937500
0.510862	0.945313
0.561057	0.953125
0.619590	0.960938
0.686179	0.968750
0.759792	0.976563
0.838550	0.984375
0.919733	0.992188
1.000000	1.000000
