v	y
0.000000	0.000000
0.031790	0.007813
0.060781	0.015625
0.087095	0.023438
0.110866	0.031250
0.132247	0.039063
0.151405	0.046875
0.168520	0.054688
0.183781	0.062500
0.197382	0.070313
0.209512	0.078125
0.220353	0.085938
0.230074	0.093750
0.238829	0.101563
0.246749	0.109375
0.253949	0.117188
0.260520	0.125000
0.266533	0.132813
0.272041	0.140625
0.277078	0.148438
0.281667	0.156250
0.285814	0.164063
0.289519	0.171875
0.292774	0.179688
0.295565	0.187500
0.297875	0.195313
0.299688	0.203125
0.300984	0.210938
0.301747	0.218750
0.301963	0.226563
0.301618	0.234375
0.300703	0.242188
0.299213	0.250000
0.297146	0.257813
0.294502	0.265625
0.291289	0.273438
0.287515	0.281250
0.283193	0.289063
0.278339	0.296875
0.272973	0.304688
0.267118	0.312500
0.260799	0.320313
0.254043	0.328125
0.246880	0.335938
0.239339	0.343750
0.231452	0.351563
0.223251	0.359375
0.214767	0.367188
0.206033	0.375000
0.197078	0.382813
0.187932	0.390625
0.178624	0.398438
0.169181	0.406250
0.159627	0.414063
0.149984	0.421875
0.140275	0.429688
0.130518	0.437500
0.120729	0.445313
0.110923	0.453125
0.101112	0.460938
0.091307	0.468750
0.081516	0.476563
0.071747	0.484375
0.062004	0.492188
0.052290	0.500000
0.042609	0.507813
0.032962	0.515625
0.023347	0.523438
0.013765	0.531250
0.004213	0.539063
-0.005312	0.546875
-0.014813	0.554688
-0.024295	0.562500
-0.033764	0.570313
-0.043226	0.578125
-0.052688	0.585938
-0.062157	0.593750
-0.071644	0.601563
-0.081160	0.609375
-0.090715	0.617188
-0.100325	0.625000
-0.110004	0.632813
-0.119770	0.640625
-0.129644	0.648438
-0.139646	0.656250
-0.149801	0.664063
-0.160137	0.671875
-0.170682	0.679688
-0.181467	0.687500
-0.192525	0.695313
-0.203889	0.703125
-0.215591	0.710938
-0.227663	0.718750
-0.240132	0.726563
-0.253020	0.734375
-0.266338	0.742188
-0.280088	0.750000
-0.294253	0.757813
-0.308795	0.765625
-0.323653	0.773438
-0.338732	0.781250
-0.353902	0.789063
-0.368991	0.796875
-0.383783	0.804688
-0.398013	0.812500
-0.411367	0.820313
-0.423486	0.828125
-0.433969	0.835938
-0.442383	0.843750
-0.448281	0.851563
-0.451215	0.859375
-0.450764	0.867188
-0.446558	0.875000
-0.438305	0.882813
-0.425819	0.890625
-0.409043	0.898438
-0.388065	0.906250
-0.363128	0.914063
-0.334625	0.921875
-0.303090	0.929688
-0.269168	0.937500
-0.233589	0.945313
-0.197130	0.953125
-0.160574	0.960938
-0.124674	0.968750
-0.090122	0.976563
-0.057519	0.984375
-0.027356	0.992188
0.000000	1.000000
